Periodo,Longitud en servicio (km)  a,Trenes en servicio  b,Kilómetros recorridos     (Miles de kilómetros),Pasajeros transportados     (Millones de pasajeros)  c,Energía eléctrica consumida     (Miles de KWH)  d
2012
Enero,201,258,3438.257,131.626763,91107.813
Febrero,201,256,3266.777,129.51969,84829.894
Marzo,201,256,3519.772,138.51134,90687.425
Abril,201,256,3357.475,123.972086,86175.899
Mayo,201,256,3548.252,138.428577,91107.813
Junio,201,256,3390.487,126.015688,88435.942
Julio,201,256,3542.097,129.284798,91107.813
Agosto,201,256,3573.699,140.029883,92004.291
Septiembre,201,256,3385.225,135.165562,87539.465
Octubre,201,256,3564.241,144.724993,92004.291
Noviembre,226,278,3667.15,138.570932,94781.86
Diciembre,226,278,3728.956,133.014865,97234.862
2013
Enero,226,256,3888.566,135.849122,101618.519
Febrero,226,282,3472.262,130.00498,91144.318
Marzo,226,278,3759.311,133.271205,98284.791
Abril,226,278,3813.171,141.224389,100284.657
Mayo,226,278,3909.146,143.134477,102840.383
Junio,226,278,3731.079,135.729933,98835.794
Julio,226,278,4017.649,138.57385,104653.259
Agosto,226,278,3848.001,151.186639,104180.619
Septiembre,226,278,3689.212,140.521822,99135.074
Octubre,226,278,3943.005,154.718101,104653.259
Noviembre,226,278,3729.561,148.355403,99640.008
Diciembre,226,278,3871.862,132.366697,82715.468
2014
Enero,226,278,3981.368,130.734223,103710.883
Febrero,226,278,3541.374,124.017583,93087.971
Marzo,213,278,3781.976,133.050287,100491.69
Abril,213,278,3582.432,122.020644,101015.443
Mayo,213,278,3675.941,131.771064,103746.199
Junio,213,273,3555.096,124.493065,92200.465
Julio,213,278,3732.556,129.026208,96831.99
Agosto,213,278,3693.889,135.706107,96402.602
Septiembre,213,278,3545.907,134.203893,91733.377
Octubre,213,278,3674.489,139.012825,96831.99
Noviembre,213,278,3482.218,128.634042,92200.465
Diciembre,213,274,3702.177,128.71631,95039.036
2015
Enero,213,273,3674.102,129.98945,97482.444
Febrero,213,277,3306.867,123.07239,87831.357
Marzo,213,276,3651.623,132.978417,97002.206
Abril,213,277,3507.589,124.618,93629.445
Mayo,213,273,3497.555,130.978573,96407.912
Junio,205,272,3434.503,128.775998,95524.306
Julio,205,273,3533.046,128.723454,98897.066
Agosto,213,275,3562.656,131.253277,97482.444
Septiembre,213,273,3451.977,129.26551,94576.876
Octubre,213,274,3649.556,140.416199,98429.873
Noviembre,219,276,3519.037,131.738799,93629.445
Diciembre,226,275,3869.526,133.780233,97949.636
2016
Enero,226,275,3809.083,128.160629,97830.216
Febrero,226,273,3617.034,129.67983,92449.615
Marzo,226,277,3771.32,119.567936,97345.935
Abril,226,278,3733.926,137.472566,96357.848
Mayo,226,280,3839.772,137.132443,99297.52
Junio,226,280,3750.084,135.413611,96849.359
Julio,226,279,3823.588,127.034956,98806.009
Agosto,226,277,3844.343,141.80267,100273.312
Septiembre,226,278,3680.807,134.418053,95873.568
Octubre,226,278,3810.679,142.623216,98806.008
Noviembre,226,276,3678.636,136.582758,95873.568
Diciembre,226,276,3869.965,135.959484,99781.801
2017
Enero,226,277,3850.883,130.574458,98541.971
Febrero,226,279,3453.205,125.620518,88500.589
Marzo,226,278,3810.144,141.308427,98541.971
Abril,226,277,3584.976,123.329628,92743
Mayo,226,277,3758.721,136.391647,98541.971
Junio,226,278,3675.849,133.205374,96113.143
Julio,226,277,3770.815,129.285245,98071.472
Agosto,226,277,3803.787,140.396164,99508.521
Septiembre,226,274,3514.35,92.918578,95146.595
Octubre,221,276,3606.259,139.576734,98541.971
Noviembre,226,276,3639.204,136.873323,95146.595
Diciembre,226,275,3733.028,131.34846,97104.925
2018
Enero,226,275,3816.458,129.101237,89340.534
Febrero,226,275,3389.202,124.688815,80122.836
Marzo,226,273,3688.762,131.279527,89370.534
Abril,226,273,3646.12,132.842715,84142.336
Mayo,226,274,3768,135.992545,89340.534
Junio,226,274,3604.226,130.383415,87132.471
Julio,226,272,3750.643,127.928143,88943.909
Agosto,226,277,3746.429,141.099532,90205.036
Septiembre,226,280,3566.906,132.373798,86267.968
Octubre,226,279,3758.977,145.265315,89340.534
