FECHA,TIPO_INGRESO,LINEA_1,LINEA_2,LINEA_3,LINEA_4,LINEA_5,LINEA_6,LINEA_7,LINEA_8,LINEA_9,LINEA_A,LINEA_B,LINEA_12
01/01/2012,Boletos,648825,657120,466803,60120,242280,138525,138690,328383,176400,275370,472665,0
02/01/2012,Boletos,1532940,1491780,1168590,165690,437025,286620,433323,777951,504600,514455,965385,0
03/01/2012,Boletos,1398639,1482255,1143675,162360,388575,268770,432117,758661,503595,489090,887790,0
04/01/2012,Boletos,1414041,1556265,1181085,171360,392190,270795,443070,799875,505575,521760,964290,0
05/01/2012,Boletos,1407075,1593750,1200975,178830,384465,269055,447345,823911,515835,509055,988845,0
06/01/2012,Boletos,1278015,1411710,1102785,155760,366705,259380,423645,720870,483240,475035,821970,0
07/01/2012,Boletos,1281750,1386150,985140,144690,352950,212430,354171,704739,428550,451605,862980,0
08/01/2012,Boletos,897705,869928,671742,90630,264870,151200,209679,454899,260535,331575,613875,0
09/01/2012,Boletos,1470270,1574931,1342710,181815,446475,335415,522996,827742,566910,581160,960720,0
10/01/2012,Boletos,1304460,1448166,1217808,161235,388800,287850,475824,738054,520845,508695,799080,0
11/01/2012,Boletos,1282530,1414770,1193520,156450,379155,272850,459150,725070,508395,527325,836235,0
12/01/2012,Boletos,1276770,1415370,1189257,157500,376080,279090,458646,735603,518745,486960,817155,0
13/01/2012,Boletos,1391025,1539780,1261203,170295,399240,294390,496764,788424,546450,526620,876885,0
14/01/2012,Boletos,1388286,1495275,1049409,153075,366810,235725,388095,735603,467295,470355,892620,0
15/01/2012,Boletos,938274,942495,710934,91440,263190,156840,224355,471930,275175,326265,619950,0
16/01/2012,Boletos,1537365,1657098,1404891,189840,458850,350925,549330,859770,598875,598035,991620,0
17/01/2012,Boletos,1351155,1501752,1243701,162015,387060,297930,484920,764010,538515,512175,827415,0
18/01/2012,Boletos,1347255,1489275,1207875,165810,378570,287040,484380,756870,518445,520020,842670,0
19/01/2012,Boletos,1265670,1422465,1166178,159885,372690,273045,455085,730323,511080,482400,817170,0
20/01/2012,Boletos,1364049,1523625,1224999,168675,399000,292410,488010,769296,534975,519960,869940,0
21/01/2012,Boletos,1363200,1496850,1063869,155175,368040,232530,391905,732903,465150,464445,890745,0
22/01/2012,Boletos,931416,923925,710256,92445,259845,153975,223146,473364,278220,322695,621915,0
23/01/2012,Boletos,1491855,1642890,1399227,188535,469755,350325,535464,848484,586665,604515,973845,0
24/01/2012,Boletos,1312851,1477965,1236261,165585,400710,300615,472695,746925,533850,516525,815970,0
25/01/2012,Boletos,1304655,1479345,1243920,161835,399270,291150,473595,740055,518280,537030,854085,0
26/01/2012,Boletos,1307514,1469604,1223472,162975,395880,290040,466155,741285,532410,505275,839385,0
27/01/2012,Boletos,1439010,1626186,1310568,174435,423525,313575,502665,815673,558300,547380,924570,0
28/01/2012,Boletos,1415400,1634883,1164510,157050,379035,240930,401634,768612,493830,498615,925485,0
29/01/2012,Boletos,936978,937302,710559,90780,254490,146760,222201,466896,280590,325485,601560,0
30/01/2012,Boletos,1563627,1663680,1471644,187590,479430,367110,558555,871107,612765,621600,1019250,0
31/01/2012,Boletos,1436730,1589925,1361031,174450,420090,317370,514320,795714,559035,551310,876555,0
01/02/2012,Boletos,1406175,1560210,1321386,173325,417600,306495,493590,792498,552795,567600,914985,0
02/02/2012,Boletos,1300050,1434480,1232100,177270,397185,289905,462918,737310,522345,502590,853320,0
03/02/2012,Boletos,1476555,1656585,1341429,183495,427125,312360,533532,815085,548970,547950,943830,0
04/02/2012,Boletos,1384035,1525515,1114665,152520,380100,232425,402435,740310,475350,481710,930285,0
05/02/2012,Boletos,894693,923526,701349,90990,251250,150510,214455,458613,279240,323340,613695,0
06/02/2012,Boletos,1002807,995700,740544,107595,282315,160845,242094,507435,310020,344715,696600,0
07/02/2012,Boletos,1432110,1603104,1404801,183960,448875,347805,538371,829152,584160,591570,937095,0
08/02/2012,Boletos,1314225,1476621,1248612,163425,389040,296115,486765,764490,531660,540375,872340,0
09/02/2012,Boletos,1283970,1440819,1219815,162840,387750,292260,473430,745665,520500,511890,840060,0
10/02/2012,Boletos,1271055,1393575,1201218,160530,391200,296040,478800,714804,504600,515610,835815,0
11/02/2012,Boletos,1334928,1453824,1058484,152145,358380,232620,381180,717609,467220,465225,882270,0
12/02/2012,Boletos,894816,897786,697920,91695,246915,153330,218505,459498,282045,321495,625470,0
13/02/2012,Boletos,1523886,1655475,1440357,193440,472245,366825,552165,874962,602910,630120,1039425,0
14/02/2012,Boletos,1381440,1570800,1313682,177765,417600,321855,506460,811404,560175,561705,920415,0
15/02/2012,Boletos,1400070,1546305,1310634,174225,432030,333945,519915,806628,562950,577995,920850,0
16/02/2012,Boletos,1367634,1533045,1297065,171660,420270,317415,502245,792345,559215,541020,896430,0
17/02/2012,Boletos,1414536,1593180,1323135,175680,442140,321405,515463,809811,556665,559620,928845,0
18/02/2012,Boletos,1380666,1524225,1113927,157380,384135,244500,405162,745749,478260,493530,915765,0
19/02/2012,Boletos,949122,975615,726987,95280,269655,154575,228645,482472,290340,351480,637890,0
20/02/2012,Boletos,1510842,1638912,1433769,193185,490545,360375,550008,862317,590955,617160,1014705,0
21/02/2012,Boletos,1321950,1480278,1274478,167010,431745,305130,494907,765897,537510,530460,835290,0
22/02/2012,Boletos,1275921,1453263,1233696,164085,410925,297210,474120,745809,521280,547365,858990,0
23/02/2012,Boletos,1276899,1455207,1227369,165525,410295,292740,467910,753120,530490,518925,855240,0
24/02/2012,Boletos,1420710,1575900,1333245,173970,448050,322185,511425,824250,555255,554355,921390,0
25/02/2012,Boletos,1358541,1495836,1100766,149715,380505,242370,394935,736890,482025,488100,900450,0
26/02/2012,Boletos,909219,934644,727533,92280,270840,161130,225300,473535,290460,339765,622320,0
27/02/2012,Boletos,1488690,1631160,1441650,187995,491145,363855,540810,864378,593280,628335,1017390,0
28/02/2012,Boletos,1383210,1613025,1361463,170820,443835,317760,502500,812211,565275,553125,878520,0
29/02/2012,Boletos,1391955,1560105,1316547,170415,434685,312705,517680,809931,568830,573195,909495,0
01/03/2012,Boletos,1382415,1553985,1308531,172485,431730,315345,508065,799485,578295,547065,905055,0
02/03/2012,Boletos,1440189,1636965,1341642,178290,423090,319335,515610,857490,567435,586740,936030,0
03/03/2012,Boletos,1476060,1676910,1219629,160155,400080,251340,425100,795705,521820,539625,980310,0
04/03/2012,Boletos,961650,1020789,783702,99300,271200,157440,248115,493050,324585,361005,650475,0
05/03/2012,Boletos,1503231,1663224,1437099,190785,473220,363615,555228,870480,600900,636540,1028145,0
06/03/2012,Boletos,1327335,1481502,1277712,167340,405420,305700,487767,758760,532815,529290,841920,0
07/03/2012,Boletos,1301259,1473075,1238265,163155,388980,293895,470955,750495,527835,546945,865905,0
08/03/2012,Boletos,1283526,1453770,1214325,165150,391080,289485,467415,752385,527670,505665,848985,0
09/03/2012,Boletos,1370685,1560060,1289181,174720,417990,306435,496485,787665,544155,535185,912330,0
10/03/2012,Boletos,1398159,1546275,1116603,160020,385230,248100,399750,759510,501255,494385,923085,0
11/03/2012,Boletos,941061,951090,735024,98160,269535,156180,235575,492330,297150,342555,633780,0
12/03/2012,Boletos,1491510,1611612,1447821,187695,476055,358965,550110,855915,604410,615225,1004730,0
13/03/2012,Boletos,1326465,1490715,1274061,168705,408480,307140,497190,770160,541650,539940,847710,0
14/03/2012,Boletos,1369215,1546488,1287726,181245,408390,299370,506100,807255,557415,561555,909450,0
15/03/2012,Boletos,1431879,1628505,1335189,188130,424230,312330,528000,828420,575700,584625,918480,0
16/03/2012,Boletos,1520706,1740105,1399842,188700,444630,328785,548595,868485,595350,568740,983400,0
17/03/2012,Boletos,1442934,1569165,1132254,162375,406335,243030,407535,763365,503610,520305,998550,0
18/03/2012,Boletos,932586,968265,717399,96480,262920,153585,228600,478515,302070,335820,621510,0
19/03/2012,Boletos,994155,980745,736641,110685,290055,159435,243870,517020,316500,347940,712980,0
20/03/2012,Boletos,1375635,1545075,1375629,176745,458490,345180,528135,808353,567555,480465,912630,0
21/03/2012,Boletos,1287501,1446180,1237500,163575,394020,295320,471705,757212,523140,384000,865230,0
22/03/2012,Boletos,1277244,1446540,1226460,163230,398175,283800,468105,742035,528885,470925,846420,0
23/03/2012,Boletos,1352976,1545210,1279488,172305,415665,306945,497955,768165,576255,520515,901050,0
24/03/2012,Boletos,1341537,1500744,1110855,156375,378030,234765,399690,744291,515295,499140,893985,0
25/03/2012,Boletos,923442,943836,725424,96405,263115,147615,231060,493791,325125,332550,622035,0
26/03/2012,Boletos,1452750,1579620,1395423,187020,463935,352965,535581,832248,586635,587295,985185,0
27/03/2012,Boletos,1303395,1464780,1264725,164430,403320,301290,496944,752070,543375,516615,830100,0
28/03/2012,Boletos,1316601,1518915,1282905,164160,403020,297465,485085,767910,551730,543030,869175,0
29/03/2012,Boletos,1336074,1477155,1253589,169920,404040,299070,480570,780750,550875,518055,862425,0
30/03/2012,Boletos,1496880,1672035,1366158,181860,444750,324660,528561,859782,592689,568785,974250,0
31/03/2012,Boletos,1558020,1722600,1238628,172410,436215,256290,450279,831828,552621,547335,1032705,0
01/04/2012,Boletos,1070220,1063935,819333,107520,307485,163860,269970,560130,320790,369495,672330,0
02/04/2012,Boletos,1515705,1533903,1257828,168960,411840,285390,482835,792012,551355,536250,912210,0
03/04/2012,Boletos,1367805,1437987,1109460,148875,371340,247005,433935,720261,499185,469695,776655,0
04/04/2012,Boletos,1382205,1444005,1094574,147450,379200,239910,420510,727647,487860,510765,844755,0
05/04/2012,Boletos,1007760,1010313,726030,102345,315030,151575,258480,583845,324525,294915,631980,0
06/04/2012,Boletos,651042,636897,489981,66210,217890,108540,171570,456282,215100,223200,457935,0
07/04/2012,Boletos,896358,902079,627768,89655,246840,124665,202650,463977,266730,287865,573810,0
08/04/2012,Boletos,815715,715032,559458,75420,262665,114555,176820,382857,223005,277290,521235,0
09/04/2012,Boletos,1528290,1572237,1369143,177390,473985,331605,502245,808305,560265,581580,975540,0
10/04/2012,Boletos,1408545,1532007,1281261,167520,432030,300480,466740,753558,536925,521355,834450,0
11/04/2012,Boletos,1396770,1500660,1253874,162270,413025,293295,463770,746211,530340,545475,878235,0
12/04/2012,Boletos,1407165,1524738,1255995,160590,410145,289245,456810,768330,533025,512850,846840,0
13/04/2012,Boletos,1493025,1620582,1317285,172365,437520,311220,500040,812628,549525,547230,928590,0
14/04/2012,Boletos,1414848,1548438,1117956,155550,399435,243810,399690,754644,492090,498225,926070,0
15/04/2012,Boletos,990192,947889,730872,97500,288495,154920,227805,488535,304905,344640,658410,0
16/04/2012,Boletos,1535700,1665987,1459596,199695,491175,374190,563715,880335,614820,626310,1041240,0
17/04/2012,Boletos,1344720,1487439,1263948,166515,415530,312060,494025,759840,548805,524220,834990,0
18/04/2012,Boletos,1340730,1496973,1247466,166080,402720,297285,492930,758163,550095,541845,864630,0
19/04/2012,Boletos,1299255,1477527,1223892,160320,393345,283830,469920,738900,528000,507360,836745,0
20/04/2012,Boletos,1386300,1560084,1274664,175605,414060,306645,500790,785223,543825,534090,900915,0
21/04/2012,Boletos,1402110,1531614,1115223,159600,382440,233700,400845,754821,484425,502320,918900,0
22/04/2012,Boletos,934395,943779,721743,96975,263685,145050,228705,480387,287445,337740,626595,0
23/04/2012,Boletos,1493910,1609047,1412355,190560,465525,350700,545355,849690,597165,599370,1002270,0
24/04/2012,Boletos,1310925,1469583,1242471,166650,403035,297030,477720,739893,537345,512325,824760,0
25/04/2012,Boletos,1312125,1465815,1239429,167370,395205,288195,474225,746211,536730,530835,859836,0
26/04/2012,Boletos,1301940,1466100,1231455,164655,393165,295620,474270,752640,539745,507540,858399,0
27/04/2012,Boletos,1449198,1617072,1322988,179505,442965,318345,521775,828618,589005,548955,950130,0
28/04/2012,Boletos,1446207,1624182,1193934,158415,405720,239145,413175,770373,518610,507885,958110,0
29/04/2012,Boletos,977760,1051491,759123,98955,267645,149535,242490,493749,308130,347205,655890,0
30/04/2012,Boletos,1524465,1576482,1317825,170670,418935,296040,501885,814824,564975,557580,992370,0
01/05/2012,Boletos,1014285,1068159,786954,111345,289350,164520,272685,543801,369315,345615,667005,0
02/05/2012,Boletos,1433100,1588314,1372881,180450,441300,333150,529965,827130,578460,590640,962925,0
03/05/2012,Boletos,1328145,1499373,1260321,167670,401670,293370,482010,778425,540675,517290,866790,0
04/05/2012,Boletos,1407795,1577112,1291176,173550,417990,305595,504090,792159,552930,534360,915990,0
05/05/2012,Boletos,1362600,1491450,1076226,153570,372270,220575,384000,722079,467310,471765,911550,0
06/05/2012,Boletos,945045,931890,705207,99075,266340,150345,234630,476442,299550,332925,637890,0
